Cue,Answer,Shuffle,Stimuli Notes,Value
aroma,,Win_1,,
scent,,Win_2,,
whiff,,Win_3,,
stench,,Win_4,,
reek,,Win_5,,
sniff,,Win_6,,
perfume,,Win_7,,
fragrance,,Win_8,,
nose,,Win_9,,
rose,,Win_10,,
salts,,Win_11,,
breathe,,Win_12,,
hard,,R1,,
loud,,R2,,
tender,,R3,,
fluffy,,R4,,
pillow,,R5,,
downy,,R6,,
plush,,R7,,
cotton,,R8,,
skin,,R9,,
fur,,R10,,
touch,,R11,,
furry,,R12,,
honey,,A1,,
bitter,,A2,,
sugar,,A3,,
sour,,A4,,
candy,,A5,,
tart,,A6,,
chocolate,,A7,,
nice,,A8,,
taste,,A9,,
cake,,A10,,
good,,A11,,
tooth,,A12,,
table,,T1,,
swivel,,T2,,
rocking,,T3,,
recliner,,T4,,
seat,,T5,,
stool,,T6,,
desk,,T7,,
couch,,T8,,
sit,,T9,,
sofa,,T10,,
bench,,T11,,
sitting,,T12,,
climber,,D1,,
hill,,D2,,
climb,,D3,,
molehill,,D4,,
peak,,D5,,
valley,,D6,,
summit,,D7,,
steep,,D8,,
ski,,D9,,
bike,,D10,,
goat,,D11,,
glacier,,D12,,
band,,S1,,
concert,,S2,,
jazz,,S3,,
symphony,,S4,,
orchestra,,S5,,
rhythm,,S6,,
radio,,S7,,
melody,,S8,,
piano,,S9,,
sound,,S10,,
instrument,,S11,,
note,,S12,,
foam,,RR1,,
latex,,RR2,,
galoshes,,RR3,,
tire,,RR4,,
flexible,,RR5,,
elastic,,RR6,,
gloves,,RR7,,
eraser,,RR8,,
bounce,,RR9,,
ball,,RR10,,
soles,,RR11,,
springy,,RR12,,
toe,,B1,,
inch,,B2,,
ankle,,B3,,
shoe,,B4,,
sandals,,B5,,
sock,,B6,,
hand,,B7,,
boot,,B8,,
yard,,B9,,
kick,,B10,,
knee,,B11,,
walk,,B12,,
boy,,F1,,
dolls,,F2,,
pretty,,F3,,
female,,F4,,
dress,,F5,,
date,,F6,,
beautiful,,F7,,
daughter,,F8,,
sister,,F9,,
cute,,F10,,
niece,,F11,,
young,,F12,,
white,,SS1,,
gray,,SS2,,
brown,,SS3,,
coal,,SS4,,
dark,,SS5,,
color,,SS6,,
funeral,,SS7,,
blue,,SS8,,
charred,,SS9,,
ink,,SS10,,
death,,SS11,,
cat,,SS12,,
